Structure of a model star of mass   1.00000E+00 solar masses
 and radius   8.93475E+02 Mm, with gamma =   1.66667E+00
 for which the central density and pressure  are   3.65861E-03 and   2.84999E+02
 and for which the surface density and pressure are   2.14797E-05 and   5.44542E-02
 The central and surface temperatures are:     4.71858E+00    1.53563E-01

   ir      R (Mm)       M (Msuns)   Rho (kg/cc)   P            T6

    1    3.98758E+01  3.90625E-03  3.65861E-03  2.84999E+02  4.71858E+00
    2    9.03851E+01  7.81250E-03  3.54418E-03  2.70298E+02  4.61967E+00
    3    1.08525E+02  1.17188E-02  3.49294E-03  2.63816E+02  4.57504E+00
    4    1.22046E+02  1.56250E-02  3.44969E-03  2.58394E+02  4.53719E+00
    5    1.33172E+02  1.95313E-02  3.41087E-03  2.53567E+02  4.50309E+00
    6    1.42776E+02  2.34375E-02  3.37508E-03  2.49147E+02  4.47153E+00
    7    1.51312E+02  2.73438E-02  3.34154E-03  2.45034E+02  4.44186E+00
    8    1.59048E+02  3.12500E-02  3.30977E-03  2.41164E+02  4.41366E+00
    9    1.66157E+02  3.51563E-02  3.27945E-03  2.37494E+02  4.38667E+00
   10    1.72761E+02  3.90625E-02  3.25037E-03  2.33993E+02  4.36069E+00
   11    1.78946E+02  4.29688E-02  3.22233E-03  2.30639E+02  4.33558E+00
   12    1.84778E+02  4.68750E-02  3.19521E-03  2.27413E+02  4.31122E+00
   13    1.90308E+02  5.07813E-02  3.16891E-03  2.24301E+02  4.28752E+00
   14    1.95575E+02  5.46875E-02  3.14332E-03  2.21291E+02  4.26442E+00
   15    2.00612E+02  5.85938E-02  3.11840E-03  2.18374E+02  4.24184E+00
   16    2.05445E+02  6.25000E-02  3.09406E-03  2.15542E+02  4.21975E+00
   17    2.10096E+02  6.64063E-02  3.07028E-03  2.12787E+02  4.19809E+00
   18    2.14582E+02  7.03125E-02  3.04699E-03  2.10104E+02  4.17684E+00
   19    2.18921E+02  7.42188E-02  3.02416E-03  2.07487E+02  4.15595E+00
   20    2.23124E+02  7.81250E-02  3.00176E-03  2.04932E+02  4.13540E+00
   21    2.27205E+02  8.20313E-02  2.97976E-03  2.02435E+02  4.11518E+00
   22    2.31172E+02  8.59375E-02  2.95814E-03  1.99993E+02  4.09524E+00
   23    2.35035E+02  8.98438E-02  2.93687E-03  1.97602E+02  4.07559E+00
   24    2.38802E+02  9.37500E-02  2.91593E-03  1.95259E+02  4.05619E+00
   25    2.42479E+02  9.76563E-02  2.89530E-03  1.92962E+02  4.03704E+00
   26    2.46072E+02  1.01563E-01  2.87497E-03  1.90709E+02  4.01812E+00
   27    2.49588E+02  1.05469E-01  2.85492E-03  1.88497E+02  3.99941E+00
   28    2.53031E+02  1.09375E-01  2.83513E-03  1.86325E+02  3.98091E+00
   29    2.56406E+02  1.13281E-01  2.81560E-03  1.84190E+02  3.96261E+00
   30    2.59717E+02  1.17188E-01  2.79631E-03  1.82092E+02  3.94449E+00
   31    2.62967E+02  1.21094E-01  2.77725E-03  1.80028E+02  3.92654E+00
   32    2.66160E+02  1.25000E-01  2.75841E-03  1.77997E+02  3.90877E+00
   33    2.69300E+02  1.28906E-01  2.73978E-03  1.75999E+02  3.89115E+00
   34    2.72388E+02  1.32813E-01  2.72136E-03  1.74031E+02  3.87369E+00
   35    2.75429E+02  1.36719E-01  2.70313E-03  1.72092E+02  3.85637E+00
   36    2.78423E+02  1.40625E-01  2.68509E-03  1.70182E+02  3.83919E+00
   37    2.81374E+02  1.44531E-01  2.66723E-03  1.68300E+02  3.82215E+00
   38    2.84283E+02  1.48438E-01  2.64955E-03  1.66444E+02  3.80524E+00
   39    2.87152E+02  1.52344E-01  2.63203E-03  1.64614E+02  3.78845E+00
   40    2.89984E+02  1.56250E-01  2.61468E-03  1.62809E+02  3.77177E+00
   41    2.92780E+02  1.60156E-01  2.59748E-03  1.61028E+02  3.75522E+00
   42    2.95542E+02  1.64063E-01  2.58043E-03  1.59271E+02  3.73877E+00
   43    2.98270E+02  1.67969E-01  2.56354E-03  1.57537E+02  3.72243E+00
   44    3.00967E+02  1.71875E-01  2.54678E-03  1.55824E+02  3.70619E+00
   45    3.03634E+02  1.75781E-01  2.53016E-03  1.54133E+02  3.69005E+00
   46    3.06271E+02  1.79688E-01  2.51368E-03  1.52463E+02  3.67401E+00
   47    3.08881E+02  1.83594E-01  2.49733E-03  1.50814E+02  3.65806E+00
   48    3.11465E+02  1.87500E-01  2.48110E-03  1.49184E+02  3.64220E+00
   49    3.14022E+02  1.91406E-01  2.46500E-03  1.47574E+02  3.62642E+00
   50    3.16555E+02  1.95313E-01  2.44901E-03  1.45983E+02  3.61073E+00
   51    3.19064E+02  1.99219E-01  2.43315E-03  1.44410E+02  3.59511E+00
   52    3.21550E+02  2.03125E-01  2.41739E-03  1.42855E+02  3.57958E+00
   53    3.24014E+02  2.07031E-01  2.40175E-03  1.41317E+02  3.56412E+00
   54    3.26457E+02  2.10938E-01  2.38621E-03  1.39797E+02  3.54873E+00
   55    3.28880E+02  2.14844E-01  2.37078E-03  1.38294E+02  3.53342E+00
   56    3.31282E+02  2.18750E-01  2.35546E-03  1.36807E+02  3.51817E+00
   57    3.33666E+02  2.22656E-01  2.34023E-03  1.35336E+02  3.50299E+00
   58    3.36031E+02  2.26563E-01  2.32510E-03  1.33881E+02  3.48788E+00
   59    3.38379E+02  2.30469E-01  2.31006E-03  1.32441E+02  3.47283E+00
   60    3.40709E+02  2.34375E-01  2.29512E-03  1.31017E+02  3.45784E+00
   61    3.43023E+02  2.38281E-01  2.28027E-03  1.29607E+02  3.44291E+00
   62    3.45320E+02  2.42188E-01  2.26551E-03  1.28212E+02  3.42803E+00
   63    3.47603E+02  2.46094E-01  2.25084E-03  1.26831E+02  3.41321E+00
   64    3.49870E+02  2.50000E-01  2.23625E-03  1.25464E+02  3.39845E+00
   65    3.52123E+02  2.53906E-01  2.22175E-03  1.24110E+02  3.38374E+00
   66    3.54361E+02  2.57813E-01  2.20733E-03  1.22770E+02  3.36908E+00
   67    3.56586E+02  2.61719E-01  2.19299E-03  1.21444E+02  3.35447E+00
   68    3.58798E+02  2.65625E-01  2.17872E-03  1.20130E+02  3.33991E+00
   69    3.60998E+02  2.69531E-01  2.16454E-03  1.18829E+02  3.32540E+00
   70    3.63185E+02  2.73438E-01  2.15043E-03  1.17541E+02  3.31093E+00
   71    3.65360E+02  2.77344E-01  2.13639E-03  1.16265E+02  3.29651E+00
   72    3.67523E+02  2.81250E-01  2.12243E-03  1.15002E+02  3.28213E+00
   73    3.69675E+02  2.85156E-01  2.10853E-03  1.13750E+02  3.26779E+00
   74    3.71817E+02  2.89063E-01  2.09471E-03  1.12510E+02  3.25349E+00
   75    3.73948E+02  2.92969E-01  2.08096E-03  1.11281E+02  3.23924E+00
   76    3.76069E+02  2.96875E-01  2.06727E-03  1.10064E+02  3.22502E+00
   77    3.78180E+02  3.00781E-01  2.05365E-03  1.08858E+02  3.21084E+00
   78    3.80281E+02  3.04688E-01  2.04010E-03  1.07663E+02  3.19670E+00
   79    3.82373E+02  3.08594E-01  2.02661E-03  1.06480E+02  3.18259E+00
   80    3.84457E+02  3.12500E-01  2.01318E-03  1.05306E+02  3.16852E+00
   81    3.86531E+02  3.16406E-01  1.99982E-03  1.04144E+02  3.15448E+00
   82    3.88598E+02  3.20313E-01  1.98651E-03  1.02992E+02  3.14047E+00
   83    3.90656E+02  3.24219E-01  1.97327E-03  1.01850E+02  3.12650E+00
   84    3.92706E+02  3.28125E-01  1.96008E-03  1.00718E+02  3.11255E+00
   85    3.94749E+02  3.32031E-01  1.94695E-03  9.95960E+01  3.09864E+00
   86    3.96784E+02  3.35938E-01  1.93388E-03  9.84840E+01  3.08475E+00
   87    3.98812E+02  3.39844E-01  1.92087E-03  9.73818E+01  3.07090E+00
   88    4.00834E+02  3.43750E-01  1.90791E-03  9.62892E+01  3.05707E+00
   89    4.02849E+02  3.47656E-01  1.89500E-03  9.52060E+01  3.04327E+00
   90    4.04857E+02  3.51563E-01  1.88215E-03  9.41322E+01  3.02949E+00
   91    4.06859E+02  3.55469E-01  1.86935E-03  9.30677E+01  3.01574E+00
   92    4.08855E+02  3.59375E-01  1.85660E-03  9.20122E+01  3.00201E+00
   93    4.10846E+02  3.63281E-01  1.84390E-03  9.09658E+01  2.98831E+00
   94    4.12830E+02  3.67188E-01  1.83125E-03  8.99283E+01  2.97463E+00
   95    4.14810E+02  3.71094E-01  1.81865E-03  8.88995E+01  2.96097E+00
   96    4.16784E+02  3.75000E-01  1.80610E-03  8.78795E+01  2.94733E+00
   97    4.18753E+02  3.78906E-01  1.79360E-03  8.68680E+01  2.93372E+00
   98    4.20718E+02  3.82813E-01  1.78115E-03  8.58650E+01  2.92012E+00
   99    4.22678E+02  3.86719E-01  1.76874E-03  8.48704E+01  2.90654E+00
  100    4.24633E+02  3.90625E-01  1.75638E-03  8.38841E+01  2.89298E+00
  101    4.26585E+02  3.94531E-01  1.74406E-03  8.29060E+01  2.87944E+00
  102    4.28532E+02  3.98438E-01  1.73179E-03  8.19360E+01  2.86592E+00
  103    4.30475E+02  4.02344E-01  1.71956E-03  8.09741E+01  2.85241E+00
  104    4.32414E+02  4.06250E-01  1.70738E-03  8.00200E+01  2.83892E+00
  105    4.34350E+02  4.10156E-01  1.69524E-03  7.90739E+01  2.82545E+00
  106    4.36283E+02  4.14063E-01  1.68314E-03  7.81355E+01  2.81199E+00
  107    4.38212E+02  4.17969E-01  1.67108E-03  7.72047E+01  2.79854E+00
  108    4.40138E+02  4.21875E-01  1.65906E-03  7.62816E+01  2.78511E+00
  109    4.42062E+02  4.25781E-01  1.64708E-03  7.53660E+01  2.77169E+00
  110    4.43982E+02  4.29688E-01  1.63515E-03  7.44579E+01  2.75828E+00
  111    4.45900E+02  4.33594E-01  1.62325E-03  7.35571E+01  2.74488E+00
  112    4.47816E+02  4.37500E-01  1.61139E-03  7.26637E+01  2.73150E+00
  113    4.49729E+02  4.41406E-01  1.59957E-03  7.17774E+01  2.71812E+00
